Maths,Science,English,Interest,Skill,Career,Roadmap
24.91,57.64,69.59,Art,Coding,Software Engineer,"1. B.Tech in CSE
2. Learn coding (Python, Java)
3. Build projects
4. Apply for jobs or internships"
48.26,57.29,12.05,Medicine,Analysis,Digital Marketer,"1. Learn SEO, SMO, Ads
2. Certifications
3. Projects
4. Job"
19.04,73.57,66.55,Law,Coding,Lawyer,"1. Clear CLAT
2. LLB
3. Internship
4. Start practice or join firm"
19.07,34.46,74.95,Medicine,Coding,Fashion Designer,"1. Diploma/Degree in Fashion
2. Internship
3. Portfolio"
60.46,93.97,31.32,Medicine,Coding,Architect,"1. B.Arch
2. Software skills
3. Internship
4. Job"
27.67,21.72,61.81,Medicine,Analysis,Web Developer,"1. Learn HTML, CSS, JS
2. Build projects
3. Freelance/Job"
35.91,98.25,29.61,Medicine,Coding,Graphic Designer,"1. Learn design tools (Photoshop)
2. Create portfolio
3. Freelance or job"
94.24,12.74,99.81,Art,Leadership,Civil Engineer,"1. B.Tech in Civil
2. Software skills
3. Projects & Internships"
72.15,85.03,36.12,Law,Coding,Web Developer,"1. Learn HTML, CSS, JS
2. Build projects
3. Freelance/Job"
34.39,22.31,9.71,Art,Communication,Fashion Designer,"1. Diploma/Degree in Fashion
2. Internship
3. Portfolio"
40.52,80.8,62.62,Technology,Communication,Graphic Designer,"1. Learn design tools (Photoshop)
2. Create portfolio
3. Freelance or job"
59.22,86.81,36.63,Technology,Analysis,Data Scientist,"1. B.Sc in Statistics or CS
2. Learn Python & ML
3. Work on data projects
4. Apply for data roles"
60.67,35.96,99.89,Business,Coding,Entrepreneur,"1. Identify idea
2. Build product
3. Launch & scale"
68.5,41.76,54.2,Medicine,Communication,Chartered Accountant,"1. Clear CA exams (CPT/IPCC)
2. Articleship
3. Final CA exam"
62.17,97.88,32.18,Law,Communication,Data Scientist,"1. B.Sc in Statistics or CS
2. Learn Python & ML
3. Work on data projects
4. Apply for data roles"
55.42,9.1,58.57,Medicine,Design,Event Manager,"1. BBA or diploma
2. Internship
3. Start agency or join firm"
61.95,5.73,22.25,Business,Leadership,Graphic Designer,"1. Learn design tools (Photoshop)
2. Create portfolio
3. Freelance or job"
18.23,4.02,44.14,Medicine,Leadership,Lawyer,"1. Clear CLAT
2. LLB
3. Internship
4. Start practice or join firm"
22.28,82.21,5.03,Medicine,Communication,Mechanical Engineer,"1. B.Tech in ME
2. Learn AutoCAD
3. Internships
4. Apply for jobs"
29.73,15.0,54.11,Business,Analysis,Chartered Accountant,"1. Clear CA exams (CPT/IPCC)
2. Articleship
3. Final CA exam"
45.1,17.15,2.02,Technology,Analysis,Pharmacist,"1. D.Pharm or B.Pharm
2. License
3. Open/Join pharmacy"
57.48,56.03,24.11,Medicine,Coding,Chef,"1. Culinary diploma
2. Internship
3. Job or start restaurant"
41.69,35.23,56.74,Art,Communication,IAS Officer,"1. Graduation
2. Clear UPSC CSE
3. Training at LBSNAA"
19.82,37.27,57.56,Art,Coding,Fashion Designer,"1. Diploma/Degree in Fashion
2. Internship
3. Portfolio"
63.54,72.63,78.25,Art,Coding,Data Scientist,"1. B.Sc in Statistics or CS
2. Learn Python & ML
3. Work on data projects
4. Apply for data roles"
56.6,39.86,9.7,Law,Coding,Pilot,"1. 10+2 with PCM
2. Clear pilot training
3. Get CPL license"
36.88,23.81,2.85,Business,Analysis,Event Manager,"1. BBA or diploma
2. Internship
3. Start agency or join firm"
4.69,78.87,42.89,Business,Design,Graphic Designer,"1. Learn design tools (Photoshop)
2. Create portfolio
3. Freelance or job"
67.93,35.64,12.0,Art,Leadership,Journalist,"1. BA in Journalism
2. Internship
3. Join news agency"
76.24,6.06,94.42,Medicine,Coding,Pilot,"1. 10+2 with PCM
2. Clear pilot training
3. Get CPL license"
59.14,36.45,64.49,Technology,Coding,Architect,"1. B.Arch
2. Software skills
3. Internship
4. Job"
67.79,66.51,66.88,Technology,Design,Digital Marketer,"1. Learn SEO, SMO, Ads
2. Certifications
3. Projects
4. Job"
54.72,67.41,47.06,Technology,Coding,Doctor,"1. Clear NEET
2. MBBS
3. Internship
4. Specialization"
24.99,54.37,72.78,Law,Communication,Lawyer,"1. Clear CLAT
2. LLB
3. Internship
4. Start practice or join firm"
8.02,46.3,16.24,Art,Design,Web Developer,"1. Learn HTML, CSS, JS
2. Build projects
3. Freelance/Job"
90.94,97.53,79.39,Business,Leadership,Chartered Accountant,"1. Clear CA exams (CPT/IPCC)
2. Articleship
3. Final CA exam"
58.49,50.23,17.23,Art,Leadership,Entrepreneur,"1. Identify idea
2. Build product
3. Launch & scale"
10.67,16.37,22.07,Technology,Leadership,Lawyer,"1. Clear CLAT
2. LLB
3. Internship
4. Start practice or join firm"
75.85,94.49,88.21,Medicine,Coding,Scientist,"1. B.Sc & M.Sc
2. NET exam
3. PhD
4. Research Labs"
46.16,52.08,19.32,Art,Analysis,Fashion Designer,"1. Diploma/Degree in Fashion
2. Internship
3. Portfolio"
69.9,70.71,46.4,Technology,Coding,Pharmacist,"1. D.Pharm or B.Pharm
2. License
3. Open/Join pharmacy"
89.59,34.1,50.58,Technology,Analysis,Doctor,"1. Clear NEET
2. MBBS
3. Internship
4. Specialization"
44.7,3.25,89.11,Technology,Design,Data Scientist,"1. B.Sc in Statistics or CS
2. Learn Python & ML
3. Work on data projects
4. Apply for data roles"
57.61,64.5,67.08,Medicine,Analysis,Content Writer,"1. Good writing skills
2. Freelancing
3. Job in agency"
3.8,64.06,40.96,Technology,Analysis,Doctor,"1. Clear NEET
2. MBBS
3. Internship
4. Specialization"
